No. De Depósito;Referencia;Potencia (w);Potencia (HP);Tamaño contructivo;Velocidad (rpm);Torque (Nm);Corriente nominal a 220 VDD A;Corriente nominal a 380 VYY A;Eficiencia (%);Peso neto (IM B3) (kg);Precio de lista USD;;;
100664611;1LE0143-0DA26-4AA4-Z;750;1;80M;3450;2.1;3.15;1.82;77;15;270;;;
100664612;1LE0143-0DA36-4AA4-Z;1100;1.5;80M;3480;3;4.3;2.5;84;18;300.4;;;
100664613;1LE0143-0DA86-4AA4-Z;1500;2;80M;3465;4.1;5.7;3.25;85.5;18.5;373.8;;;
100664614;1LE0143-0EA46-4AA4-Z;2200;3;90L;3500;6;7.8;4.5;86.5;29;453.9;;;
100664615;1LE0143-0EA86-4AA4-Z;3000;4;90L;3515;8.2;10.7;6.2;88.5;29;521.4;;;
100664616;1LE0143-1AA86-4AA4-Z;3700;5;100L;3465;10.2;12.6;7.3;88.5;45;613.7;;;
100664618;1LE0143-1BA86-4AA4-Z;5500;7.5;112M;3520;14.9;18.6;10.8;89.5;47;818.6;;;
100664619;1LE0143-1CA16-4AA4-Z;7500;10;132S;3535;20.3;24;14;90.5;76;1016.9;;;
100664650;1LE0143-1CA86-4AA4-Z;1100;15;132M;3540;29.7;36;21;91;79;1365.8;;;
100664651;1LE0143-1DA36-4AA4-Z;1500;20;160M;3540;40.5;52;30;91;103;1750.1;;;
100664652;1LE0143-1DA46-4AA4-Z;18500;25;160L;3545;49.8;64;37;91.7;120;2097.3;;;
100664653;1LE0143-1DA86-4AA4-Z;22000;30;160L;3540;59.4;73;42;91.7;131;2646.1;;;
100664654;1LE0143-2AA46-4AA4-Z;30000;40;200L;3565;80.4;96;56;92.7;259;3669.1;;;
100664589;1LE0143-2BA16-4AA4-Z;37000;50;225M;3570;99;118;68;93;320;4502.5;;;
100664700;1LE0143-2BA26-4AA4-Z;45000;60;225M;3570;120;143;83;93.6;327;5955.2;;;
100664701;1LE0143-2CA26-4AA4-Z;55000;75;250M;3577;147;178;103;93.6;416;6996.4;;;
100664702;1LE0143-2CA86-4AA4-Z;75000;100;250M;3570;201;235;137;94.1;420;8610.8;;;
100664703;1LE0143-2DA23-3AA4-Z;90000;125;280M;3580;240;;;95;610;11834.0;;;
100664704;1LE0143-2DA83-3AA4-Z;110000;150;280M;3580;293;;;95.4;610;12807.0;;;
100664705;1LE8143-3AA23-3AA4-Z;150000;200;315M;3582;400;;;95.4;1210;16415.4;;;
100664706;1LE8143-3AA63-3AA4-Z;185000;250;315L;3582;493;;;95.8;1220;20124.3;;;
